depmap_id,cell_line_name,stripped_name,cosmic_id,sanger_id,lineage,disease,aliases
ACH-001435,1156QE/8,1156QE8,,,Testis,,
ACH-001270,1273-99,127399,,SIDM01315,Soft Tissue,Other Solid Cancers,
ACH-001000,1321N1,1321N1,,SIDM01967,CNS/Brain,,
ACH-001436,1411H,1411H,,,Testis,,
ACH-001001,143B,143B,906796,SIDM00804,Bone,,
ACH-001437,1618-K,1618K,,,Testis,,
ACH-002680,170-MG-BA,170MGBA,,SIDM02114,Central Nervous System,Glioblastoma,
ACH-002516,1765-92,176592,,,Soft Tissue,,
ACH-001438,1777N Rpmet,1777NRPMET,,,Testis,,
ACH-002089,201T,201T,1287381,SIDM00055,Lung,,
ACH-002400,21MT-1,21MT1,,SIDM01902,Breast,Breast Carcinoma,
ACH-002401,21MT-2,21MT2,,SIDM01901,Breast,Breast Carcinoma,
ACH-002399,21NT,21NT,,,Breast,,
ACH-002398,21PT,21PT,,SIDM01900,Breast,Breast Carcinoma,
ACH-000956,22Rv1,22RV1,924100,SIDM00499,Prostate,,
ACH-000948,23132/87,2313287,910924,SIDM00980,Esophagus/Stomach,,
ACH-000011,253J,253J,,,Bladder/Urinary Tract,,
ACH-000026,253JB-V,253JBV,,SIDM01624,Bladder,Bladder Carcinoma,
ACH-000323,42-MG-BA,42MGBA,687561,SIDM00982,CNS/Brain,,
ACH-001002,451Lu,451LU,1287706,SIDM01240,Skin,,
ACH-003587,531MII,531MII,,,Bone,,
ACH-002681,538-MG-BA,538MGBA,,,CNS/Brain,,
ACH-000905,5637,5637,687452,SIDM00807,Bladder/Urinary Tract,,
ACH-000520,59M,59M,,,Ovary/Fallopian Tube,,
ACH-002320,600MPE,600MPE,,,Breast,,
ACH-000973,639-V,639V,906798,SIDM00999,Bladder/Urinary Tract,,
ACH-000896,647-V,647V,906797,SIDM00983,Bladder/Urinary Tract,,
ACH-000070,697,697,906800,SIDM01076,Lymphoid,,
ACH-000411,769-P,769P,910922,SIDM00803,Kidney,,
ACH-000649,786-0,7860,905947,SIDM00125,Kidney,Kidney Carcinoma,786-O;786-O RCC;RCC 786-O;RCC_7860;786-0WT
ACH-000649,786-O,786O,905947,SIDM00125,Kidney,,
ACH-001306,8305C,8305C,906795,SIDM00997,Thyroid,,
ACH-001440,833KE,833KE,,,Testis,,
ACH-001307,8505C,8505C,924102,SIDM00996,Thyroid,,
ACH-000137,8-MG-BA,8MGBA,687562,SIDM00998,CNS/Brain,,
ACH-001441,92-1,921,,SIDM02132,Eye,Melanoma,
ACH-001794,93T449,93T449,,,Soft Tissue,,
ACH-001795,94T778,94T778,,,Soft Tissue,,
ACH-001999,950-5-BIK,9505BIK,,SIDM01972,Pancreas,Pancreatic Carcinoma,
ACH-001796,95T1000,95T1000,,,Soft Tissue,,
ACH-000008,A101D,A101D,910921,SIDM00801,Skin,,
ACH-000283,A-1207,A1207,,SIDM01527,Central Nervous System,Glioblastoma,
ACH-000558,A-172,A172,687563,SIDM00799,CNS/Brain,,
ACH-000201,A-204,A204,910784,SIDM00798,Kidney,,
ACH-000788,A2058,A2058,906792,SIDM00797,Skin,,
ACH-000740,A-253,A253,906794,SIDM00796,Head and Neck,,
ACH-000657,A2780,A2780,906804,SIDM00210,Ovary/Fallopian Tube,,
ACH-000219,A-375,A375,906793,SIDM00795,Skin,,
ACH-002001,A375_CJ1,A375CJ1,,SIDM01935,Skin,Melanoma,
ACH-002002,A375_CJ2,A375CJ2,,SIDM01937,Skin,Melanoma,
ACH-002003,A375_CJ3,A375CJ3,,SIDM01936,Skin,Melanoma,
ACH-002003,A-375_DAB_R,A375DABR,,,Skin,,
ACH-002001,A-375_DAB_TRAM_R,A375DABTRAMR,,,Skin,,
ACH-002002,A-375_SCH772984_R,A375SCH772984R,,,Skin,,
ACH-001442,A388,A388,910697,SIDM00794,Skin,,
ACH-000697,A3/KAW,A3KAW,910935,SIDM00495,Lymphoid,,
ACH-000757,A427,A427,910851,SIDM00810,Lung,,
ACH-001328,A-431,A431,910925,SIDM00995,Skin,,
ACH-000555,A-498,A498,905948,SIDM00124,Kidney,,
ACH-000157,A4/Fuk,A4FUK,910934,SIDM00502,Lymphoid,,
ACH-000681,A549,A549,905949,SIDM00903,Lung,,
ACH-003012,A549_CRAF_KD,A549CRAFKD,,,Lung,,
ACH-000052,A-673,A673,684052,SIDM00848,Bone,,
ACH-001007,A673STAG2KO16,A673STAG2KO16,,,Bone,,
ACH-001008,A673STAG2KO45,A673STAG2KO45,,,Bone,,
ACH-001009,A673STAG2NT14,A673STAG2NT14,,,Bone,,
ACH-001010,A673STAG2NT23,A673STAG2NT23,,,Bone,,
ACH-000429,A-704,A704,910920,SIDM00849,Kidney,,
ACH-000528,ABC-1,ABC1,906791,SIDM00494,Lung,,
ACH-003135,ABM-T0280,ABMT0280,,,CNS/Brain,,
ACH-003137,ABM-T0281,ABMT0281,,,CNS/Brain,,
ACH-003138,ABM-T0292,ABMT0292,,,CNS/Brain,,
ACH-003139,ABM-T0457,ABMT0457,,,Muscle,,
ACH-003141,ABM-T0557,ABMT0557,,,Muscle,,
ACH-003142,ABM-T0558,ABMT0558,,,Muscle,,
ACH-003143,ABM-T0616,ABMT0616,,,Kidney,,
ACH-003148,ABM-T0781,ABMT0781,,,CNS/Brain,,
ACH-003149,ABM-T0782,ABMT0782,,,Muscle,,
ACH-003150,ABM-T0783,ABMT0783,,,CNS/Brain,,
ACH-003155,ABM-T0789,ABMT0789,,,Liver,,
ACH-003153,ABM-T0794,ABMT0794,,,Lung,,
ACH-003154,ABM-T0795,ABMT0795,,,Lung,,
ACH-003152,ABM-T0796,ABMT0796,,,Lung,,
ACH-003156,ABM-T0797,ABMT0797,,,Lung,,
ACH-003157,ABM-T0822,ABMT0822,,,Lung,,
ACH-003158,ABM-T9220,ABMT9220,,,Muscle,,
ACH-003161,ABM-T9430,ABMT9430,,,Pancreas,,
ACH-000086,ACC-MESO-1,ACCMESO1,,SIDM01526,Lung,Mesothelioma,
ACH-001011,ACCS,ACCS,,SIDM01166,Bladder,Bladder Carcinoma,
ACH-000046,ACHN,ACHN,905950,SIDM00123,Kidney,,
ACH-002389,ACN,ACN,906803,SIDM00057,Peripheral Nervous System,,
ACH-001022,AGPN,AGPN,,SIDM01544,Bone,Ewing's Sarcoma,
ACH-000880,AGS,AGS,906790,SIDM00850,Esophagus/Stomach,,
ACH-002209,ALL-PO,ALLPO,910944,SIDM00211,Lymphoid,,
ACH-000105,ALL-SIL,ALLSIL,1295740,SIDM00994,Lymphoid,,
ACH-000269,AM-38,AM38,910933,SIDM00492,CNS/Brain,,
ACH-000557,AML-193,AML193,,SIDM01525,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,
ACH-000838,AMO-1,AMO1,1295741,SIDM00993,Lymphoid,,
ACH-000940,AN3 CA,AN3CA,910781,SIDM00901,Uterus,,
ACH-001329,ANGM-CSS,ANGMCSS,,SIDM01524,Central Nervous System,Glioblastoma,
ACH-002210,ARH-77,ARH77,906765,SIDM00900,Myeloid,,
ACH-001443,ASH-3,ASH3,1290722,SIDM00491,Thyroid,,
ACH-000222,AsPC-1,ASPC1,910702,SIDM00899,Pancreas,,
ACH-003125,ASPS-KY,ASPSKY,,,Soft Tissue,,
ACH-002058,ATN-1,ATN1,910687,SIDM00233,Lymphoid,,
ACH-000248,AU565,AU565,910704,SIDM00898,Breast,,
ACH-001015,AZ521,AZ521,,SIDM01934,Bowel,,
ACH-002211,BALL-1,BALL1,910705,SIDM00287,Lymphoid,,
ACH-002212,BB30-HNC,BB30HNC,753531,SIDM00172,Head and Neck,,
ACH-002342,BB30P BL,BB30PBL,,,Lymphoid,,
ACH-002213,BB49-HNC,BB49HNC,753532,SIDM00174,Head and Neck,,
ACH-002090,BB65-RCC,BB65RCC,753533,SIDM00191,Kidney,,
ACH-002214,BC-1,BC1,910919,SIDM00896,Lymphoid,,
ACH-002478,BC-2,BC2,,,Lymphoid,,
ACH-002215,BC-3,BC3,910918,SIDM00895,Lymphoid,,
ACH-000593,BC-3C,BC3C,,SIDM01523,Bladder,Bladder Carcinoma,
ACH-002921,BCK4,BCK4,,,Breast,,
ACH-000923,BCP-1,BCP1,,SIDM01530,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,
ACH-000456,B-CPAP,BCPAP,924104,SIDM00992,Thyroid,,
ACH-000080,BDCM,BDCM,,,Myeloid,,
ACH-002216,BE-13,BE13,906763,SIDM01245,Lymphoid,,
ACH-002217,BE2-M17,BE2M17,753616,SIDM01229,Peripheral Nervous System,,
ACH-001016,Becker,BECKER,906746,SIDM00490,CNS/Brain,,
ACH-000603,BEN,BEN,753534,SIDM00990,Lung,,
ACH-000802,BFTC-905,BFTC905,910926,SIDM00989,Bladder/Urinary Tract,,
ACH-000792,BFTC-909,BFTC909,910698,SIDM00988,Kidney,,
ACH-001017,BGC-823,BGC823,,SIDM01938,Cervix,,
ACH-000191,BHT-101,BHT101,906696,SIDM00987,Thyroid,,
ACH-000548,BHY,BHY,753535,SIDM00986,Head and Neck,,
ACH-001331,BICR 10,BICR10,1290724,SIDM00077,Head and Neck,,
